mes,El sistema de ducha,Cañería de la cocina,Planos e instalaciones,Materiales y fusiones,Filtraciones,La reserva de agua,Griferías,Los desagües cloacales
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,73,73,0,0,125,0,0,0
2014-01,0,52,0,0,0,0,0,0
2014-02,32,0,32,42,32,32,32,32
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,33,33,0,0,26,0,0,0
2015-02,0,0,0,26,0,33,26,26
2015-03,33,33,26,0,26,0,0,0
2015-04,0,0,26,52,0,26,26,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,45,45,0,0,0,0,0,0
2015-09,0,0,0,19,0,45,0,45
2015-10,0,0,45,0,0,0,0,0
2015-11,33,0,0,0,33,0,0,0
2015-12,0,33,0,51,0,33,33,0
2016-01,0,0,33,0,0,0,0,26
2016-02,0,0,0,0,0,0,0,0
2016-03,45,0,0,0,0,0,0,0
2016-04,0,45,0,45,0,45,45,0
2016-05,0,0,0,0,0,0,0,45
2016-06,33,0,0,0,33,0,0,0
2016-07,0,33,0,33,0,33,33,0
2016-08,0,0,33,0,0,0,0,33
2016-09,33,33,0,0,33,0,0,0
2016-10,0,0,0,33,0,33,33,33
